 20/11/2017 02:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 03:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 04:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 05:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 06:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 07:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 08:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 09:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 10:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 20/11/2017 11:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 12:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 01:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 02:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 03:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 04:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 05:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 06:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 07:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 08:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 09:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 10:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 11:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 12:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 01:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 02:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 03:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 04:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 05:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 06:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 07:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 08:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 09:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 10:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 21/11/2017 11:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 12:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 01:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 02:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 03:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 04:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 05:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 06:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 07:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 08:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 09:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 10:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 11:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 12:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 01:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 02:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 03:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 04:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 05:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 06:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 07:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 08:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 09:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 10:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 22/11/2017 11:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 12:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 01:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 02:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 03:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 04:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 05:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 06:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 07:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 08:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 09:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 10:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 11:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 12:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 01:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 02:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 03:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 04:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 05:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 06:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 07:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 08:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 09:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 10:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 23/11/2017 11:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 12:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 01:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 02:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 03:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 04:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 05:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 06:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 07:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 08:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 09:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 10:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 11:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 12:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 01:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 02:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 03:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 04:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 05:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 06:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 07:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 08:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 09:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 10:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 24/11/2017 11:00:00 p.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 12:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 01:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 02:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 03:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 04:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 05:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 06:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 07:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 08:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 09:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 25/11/2017 10:00:00 a.m. ; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
